dis_price,discount_percent,main_category_name,ori_price,ranking,sub_category_name,title
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,컴퓨터/전자,,,ALL,
,,생활/주방/건강,,,ALL,
,,식품,,,ALL,
,,가구/침구,,,ALL,
,,도서/음반,,,ALL,
,,스포츠/자동차,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,신발/잡화,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,화장품/헤어,,,ALL,
,,패션의류,,,ALL,
,,유아동/출산,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,여행,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,e쿠폰/티켓,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,컴퓨터/전자,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,여행,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,신발/잡화,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,생활/주방/건강,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,화장품/헤어,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,패션의류,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,유아동/출산,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,식품,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,가구/침구,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,도서/음반,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
,,스포츠/자동차,,,ALL,
